2026-03-06 10:25:03,603 | INFO | Starting Assignment 02 - Event Log Process Mining
2026-03-06 10:25:03,604 | INFO | Loading event log...
2026-03-06 10:25:04,304 | INFO | Dataset loaded: (180000, 14)
2026-03-06 10:25:04,305 | INFO | Building process graph...
2026-03-06 10:25:07,828 | INFO | Graph nodes: 6
2026-03-06 10:25:07,828 | INFO | Graph edges: 20
2026-03-06 10:25:07,828 | INFO | Computing process metrics...
2026-03-06 10:25:08,048 | INFO | Metrics saved: outputs/run_20260306_102503/process_metrics.csv
2026-03-06 10:25:08,048 | INFO | Exporting process transitions...
2026-03-06 10:25:08,051 | INFO | Transitions saved: outputs/run_20260306_102503/process_transitions.csv
2026-03-06 10:25:08,051 | INFO | Drawing process graph...
2026-03-06 10:25:08,914 | INFO | Graph image saved: outputs/run_20260306_102503/process_graph.png
2026-03-06 10:25:08,914 | INFO | Assignment 02 completed successfully
2026-03-06 10:52:33,506 | INFO | Starting Assignment 02 - Event Log Process Mining
2026-03-06 10:52:33,506 | INFO | Loading event log...
2026-03-06 10:52:34,292 | INFO | Dataset loaded: (180000, 14)
2026-03-06 10:52:34,292 | INFO | Building process graph...
2026-03-06 10:52:37,523 | INFO | Graph nodes: 6
2026-03-06 10:52:37,523 | INFO | Graph edges: 20
2026-03-06 10:52:37,523 | INFO | Computing process metrics...
2026-03-06 10:52:37,727 | INFO | Metrics saved: outputs\run\process_metrics.csv
2026-03-06 10:52:37,727 | INFO | Exporting process transitions...
2026-03-06 10:52:37,730 | INFO | Transitions saved: outputs\run\process_transitions.csv
2026-03-06 10:52:37,730 | INFO | Computing top process traces...
2026-03-06 10:52:38,545 | INFO | Top traces saved: outputs\run\top_traces.csv
2026-03-06 10:52:38,551 | INFO | Trace frequency: 29265
2026-03-06 10:52:38,551 | INFO | Drawing process graph...
2026-03-06 10:52:39,590 | INFO | Process graph saved
2026-03-06 10:52:39,590 | INFO | Building social network...
2026-03-06 11:25:28,782 | INFO | Starting Assignment 02 - Event Log Process Mining
2026-03-06 11:25:28,782 | INFO | Loading event log...
2026-03-06 11:25:29,522 | INFO | Dataset loaded: (180000, 14)
2026-03-06 11:25:29,522 | INFO | Building process graph...
2026-03-06 11:25:32,781 | INFO | Graph nodes: 6
2026-03-06 11:25:32,781 | INFO | Graph edges: 20
2026-03-06 11:25:32,781 | INFO | Computing process metrics...
2026-03-06 11:25:32,987 | INFO | Metrics saved: outputs\run\process_metrics.csv
2026-03-06 11:25:32,987 | INFO | Exporting process transitions...
2026-03-06 11:25:32,990 | INFO | Transitions saved: outputs\run\process_transitions.csv
